id,original_title,adult,original_language,popularity,release_date,budget,profit (revenue-budget),runtime,status,vote_average,vote_count
107,Snatch,2,en,14.014025,9/1/2000,10000000,73557872,103,Released,7.7,2953
112,Italiensk for begyndere,2,da,5.396508,12/7/2000,0,0,112,Released,6.5,33
113,봄 여름 가을 겨울 그리고 봄,2,ko,8.157887,9/19/2003,0,6502364,103,Released,7.6,240
115,The Big Lebowski,2,en,15.952524,3/6/1998,15000000,31189568,117,Released,7.8,3001
116,Match Point,2,en,9.020372,10/26/2005,15000000,70306374,124,Released,7.2,1134
118,Charlie and the Chocolate Factory,2,en,22.038405,7/13/2005,150000000,324968763,115,Released,6.7,3759
120,The Lord of the Rings: The Fellowship of the Ring,2,en,32.070725,12/18/2001,93000000,778368364,178,Released,8,8892
121,The Lord of the Rings: The Two Towers,2,en,29.423537,12/18/2002,79000000,847287400,179,Released,8,7641
122,The Lord of the Rings: The Return of the King,2,en,29.324358,12/1/2003,94000000,1024888979,201,Released,8.1,8226
128,もののけ姫,2,ja,17.166725,7/12/1997,26500000,132875308,134,Released,8.2,2041
129,千と千尋の神隠し,2,ja,41.048867,7/20/2001,15000000,259925095,125,Released,8.3,3968
134,"O Brother, Where Art Thou?",2,en,12.434175,8/30/2000,26000000,45868327,106,Released,7.3,1144
139,Mifunes sidste sang,2,da,2.539346,3/12/1999,0,0,98,Released,6.8,16
140,La mala educación,2,es,7.66414,3/19/2004,5000000,35266982,106,Released,7.1,223
141,Donnie Darko,2,en,18.303148,1/18/2001,6000000,-4729478,113,Released,7.7,3574
142,Brokeback Mountain,2,en,11.787044,9/2/2005,14000000,164043761,134,Released,7.5,1531
146,卧虎藏龙,2,zh,19.944953,10/1/2000,17000000,196525736,120,Released,7.2,949
148,The Secret Life of Words,2,en,12.775583,12/15/2005,5000000,-5000000,112,Released,6.8,52
153,Lost in Translation,2,en,11.609441,8/31/2003,4000000,115723856,102,Released,7.3,1943
155,The Dark Knight,2,en,123.167259,7/16/2008,185000000,819558444,152,Released,8.3,12269
156,Wilbur begår selvmord,2,da,2.651412,11/8/2002,0,0,111,Released,6.8,25
158,Knockin' on Heaven's Door,2,de,7.203307,2/20/1997,0,0,87,Released,7.6,135
161,Ocean's Eleven,2,en,12.114932,12/7/2001,85000000,365717150,116,Released,7.2,3857
163,Ocean's Twelve,2,en,11.869347,12/9/2004,110000000,252744280,125,Released,6.4,2169
167,K-PAX,2,en,12.400152,10/22/2001,48000000,2315140,120,Released,7.1,710
170,28 Days Later,2,en,17.656951,10/31/2002,5000000,77719885,113,Released,7.1,1816
176,Saw,2,en,23.508433,10/1/2004,1200000,102711669,103,Released,7.2,2255
179,The Interpreter,2,en,12.047671,4/8/2005,80000000,82944923,128,Released,6.2,400
180,Minority Report,2,en,20.666063,6/20/2002,102000000,256372926,145,Released,7.1,2663
182,The Good German,2,en,5.290831,12/8/2006,32000000,-26085092,108,Released,5.9,87
184,Jackie Brown,2,en,16.415498,12/24/1997,12000000,27673162,154,Released,7.3,1580
186,Lucky Number Slevin,2,en,11.15092,2/24/2006,27000000,29308881,110,Released,7.4,1356
187,Sin City,2,en,15.010525,4/1/2005,40000000,118733820,124,Released,7.2,2755
189,Sin City: A Dame to Kill For,2,en,20.623642,8/20/2014,65000000,-25592384,102,Released,6.3,1314
194,Le fabuleux destin d'Amélie Poulain,2,fr,12.879381,4/25/2001,10000000,163921954,122,Released,7.8,3403
200,Star Trek: Insurrection,2,en,9.538877,12/10/1998,70000000,48000000,103,Released,6.3,402
201,Star Trek: Nemesis,2,en,11.367801,12/13/2002,60000000,7312826,117,Released,6.1,488
205,Hotel Rwanda,2,en,10.262332,9/11/2004,17500000,20500000,121,Released,7.5,805
206,Paradise Found,2,en,1.623172,1/1/2003,0,0,89,Released,6.8,6
211,Berlin is in Germany,2,de,0.222747,11/1/2001,0,0,90,Released,6.3,3
214,Saw III,2,en,14.938035,10/27/2006,10000000,153876815,108,Released,6.1,1104
215,Saw II,2,en,15.399863,10/28/2005,4000000,148925093,92,Released,6.3,1288
217,Indiana Jones and the Kingdom of the Crystal Skull,2,en,12.577266,5/21/2008,185000000,601636033,122,Released,5.7,2558
219,Volver,2,es,6.302926,3/16/2006,12899867,72682540,121,Released,7.3,419
226,Boys Don't Cry,2,en,6.536006,9/2/1999,2000000,9540607,118,Released,7.2,360
231,Syriana,2,en,5.768575,11/23/2005,50000000,44000000,128,Released,6.3,455
237,Young Adam,2,en,5.235419,9/26/2003,6400000,-3900000,93,Released,5.9,46
243,High Fidelity,2,en,8.524956,3/17/2000,30000000,17126295,113,Released,7,636
245,About a Boy,2,en,10.956665,4/26/2002,27000000,102000000,101,Released,6.6,627
246,座頭市,2,ja,6.428263,9/6/2003,0,0,111,Released,7.3,236
250,I Kina spiser de hunde,2,da,5.06264,9/10/1999,0,0,91,Released,7.5,81
254,King Kong,2,en,19.761164,12/14/2005,207000000,343000000,187,Released,6.6,2403
257,Oliver Twist,2,en,12.369935,9/23/2005,50000000,-7906294,130,Released,6.7,283
267,Carne trémula,2,es,6.715019,10/28/1997,0,1535558,103,Released,7.2,89
272,Batman Begins,2,en,28.505341,6/10/2005,150000000,224218673,140,Released,7.5,7511
273,Das weisse Rauschen,2,de,3.10114,12/31/2001,250000,-250000,107,Released,7,16
276,Die fetten Jahre sind vorbei,2,de,5.681706,10/25/2004,0,0,127,Released,7.2,83
277,Underworld,2,en,20.624333,9/19/2003,22000000,73708457,121,Released,6.6,2556
285,Pirates of the Caribbean: At World's End,2,en,31.363664,5/19/2007,300000000,661000000,169,Released,6.9,4627
286,Deutschland. Ein Sommermärchen,2,de,1.158527,10/3/2006,0,0,107,Released,7.2,15
291,Riding Giants,2,en,2.203949,7/9/2004,2600000,566000,105,Released,7.6,23
292,Dave Chappelle's Block Party,2,en,2.092791,9/12/2005,3000000,8718595,100,Released,6.5,29
296,Terminator 3: Rise of the Machines,2,en,20.818907,7/2/2003,200000000,235000000,109,Released,5.9,2177
297,Meet Joe Black,2,en,14.026744,11/12/1998,90000000,52940100,178,Released,6.9,1174
298,Ocean's Thirteen,2,en,12.16276,6/7/2007,85000000,226312624,122,Released,6.5,2040
300,La science des rêves,2,fr,10.603991,2/11/2006,6000000,3524340,105,Released,6.8,253
302,Swimming Pool,2,en,14.481103,5/18/2003,7800000,14641323,102,Released,6.5,154
308,Broken Flowers,2,en,6.589304,5/17/2005,10000000,35742101,105,Released,6.8,359
309,Festen,2,da,6.064954,5/20/1998,1300000,-1300000,105,Released,7.7,213
310,Bruce Almighty,2,en,15.947524,5/23/2003,80000000,404572835,101,Released,6.4,3121
313,Snow Cake,2,en,11.556057,2/9/2006,12000000,-10618335,112,Released,7.3,51
314,Catwoman,2,en,13.340272,7/22/2004,100000000,-17897621,104,Released,4.2,833
316,Halbe Treppe,2,de,0.637825,2/12/2002,600000,-600000,111,Released,6.9,7
317,Grbavica,2,bs,0.623465,3/1/2006,0,0,90,Released,6.9,15
318,The Million Dollar Hotel,2,en,4.938231,2/9/2000,8000000,-8000000,122,Released,5.9,76
320,Insomnia,2,en,11.424974,5/24/2002,46000000,67714830,118,Released,6.8,1181
321,Mambo Italiano,2,en,2.873356,6/6/2003,4361898,-1330097,92,Released,5.6,28
322,Mystic River,2,en,12.602438,10/7/2003,25000000,131822020,138,Released,7.6,1473
326,Snakes on a Plane,2,en,7.418574,8/6/2006,33000000,29022014,105,Released,5.1,504
327,Brother,2,ja,8.134524,9/9/2000,12000000,3250000,114,Released,6.8,107
330,The Lost World: Jurassic Park,2,en,0.788123,5/23/1997,73000000,156074524,129,Released,6.2,2528
331,Jurassic Park III,2,en,0.648867,7/18/2001,93000000,275780809,92,Released,5.7,2109
332,Inspector Gadget,2,en,11.677244,7/23/1999,75000000,-75000000,78,Released,4.3,322
333,Bollywood/Hollywood,2,en,2.015731,1/1/2002,0,0,101,Released,6.1,4
334,Magnolia,2,en,9.091636,12/8/1999,37000000,11451803,188,Released,7.5,844
337,Monsieur Ibrahim et les fleurs du Coran,2,fr,8.260823,12/3/2003,0,11576431,94,Released,7,39
338,"Good bye, Lenin!",2,de,10.605595,2/9/2003,4800000,74584880,121,Released,7.4,602
340,Everything is Illuminated,2,en,7.738924,9/16/2005,7000000,-4302070,106,Released,7.4,251
342,Sommersturm,2,de,3.894549,9/2/2004,2700000,-2700000,98,Released,6.7,60
344,Bang Boom Bang - Ein todsicheres Ding,2,de,3.931984,8/26/1999,2888030,-2888030,110,Released,7.5,52
345,Eyes Wide Shut,2,en,13.268484,7/14/1999,65000000,97091208,159,Released,7.1,1266
349,Crustacés et coquillages,2,fr,2.542936,3/30/2005,0,0,93,Released,5.1,7
350,The Devil Wears Prada,2,en,13.102384,6/30/2006,35000000,291551094,109,Released,7,3198
363,Gegen die Wand,2,de,10.234986,3/11/2004,0,11030861,121,Released,7.3,111
388,Inside Man,2,en,13.393548,3/23/2006,45000000,139376254,129,Released,7.3,1671
392,Chocolat,2,en,8.9256,12/14/2000,25000000,127500343,121,Released,6.8,979
393,Kill Bill: Vol. 2,2,en,21.533072,4/16/2004,30000000,122159461,136,Released,7.7,4061
395,AVP: Alien vs. Predator,2,en,12.636205,8/12/2004,70000000,101183863,101,Released,5.6,1241
398,Capote,2,en,6.01272,9/30/2005,7000000,42084830,114,Released,6.9,394
401,Garden State,2,en,11.630809,7/28/2004,2500000,24281723,102,Released,7.1,631
404,The Straight Story,2,en,14.580995,10/15/1999,10000000,-10000000,112,Released,7.7,315
407,Kurz und schmerzlos,2,de,1.463414,10/15/1998,500000,-500000,93,Released,6.1,10
410,Sommer vorm Balkon,2,de,1.11126,9/9/2005,0,0,105,Released,6.7,12
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2,en,18.13542,12/7/2005,180000000,568806957,143,Released,6.7,2709
415,Batman & Robin,2,en,17.038824,6/20/1997,125000000,113207122,125,Released,4.2,1447
421,The Life Aquatic with Steve Zissou,2,en,6.936677,12/10/2004,50000000,-15191597,119,Released,7.1,781
423,The Pianist,2,en,14.811594,9/24/2002,35000000,85072577,150,Released,8.1,1927
425,Ice Age,2,en,17.328902,3/10/2002,59000000,324257136,81,Released,7.1,3954
428,Sommer '04,2,de,0.533829,10/11/2006,0,0,97,Released,5.5,4
431,Cube,2,en,12.095263,9/9/1997,250000,251818,90,Released,6.9,1101
434,Knallhart,2,de,1.634982,3/9/2006,0,0,99,Released,7.2,14
435,The Day After Tomorrow,2,en,15.049695,5/26/2004,125000000,419272402,124,Released,6.2,2462
436,"María, llena eres de gracia",2,es,5.450934,1/18/2004,0,0,101,Released,6.9,103
437,Cube 2: Hypercube,2,en,15.317489,4/15/2002,0,0,94,Released,5.4,383
438,Cube Zero,2,en,8.758493,10/15/2004,825000,-825000,97,Released,5.7,274
440,Aliens vs Predator: Requiem,2,en,10.793324,12/25/2007,40000000,1797066,94,Released,4.9,758
441,Human Nature,2,en,7.714094,5/18/2001,6000000,-5294692,96,Released,6.1,74
442,Populärmusik från Vittula,2,sv,0.988777,9/24/2004,2224000,25776000,100,Released,6,17
445,Caché,2,fr,5.69586,5/2/2005,0,36000000,117,Released,7,228
452,Idioterne,2,da,9.174221,4/28/1998,2500000,-2492765,117,Released,6.7,107
453,A Beautiful Mind,2,en,11.93646,12/11/2001,60000000,253542341,135,Released,7.7,3087
455,Bend It Like Beckham,2,en,6.262677,4/11/2002,3500159,73078482,112,Released,6.2,593
460,Alles auf Zucker!,2,de,1.817069,1/6/2005,0,0,136,Released,6.6,10
462,Erin Brockovich,2,en,10.135446,3/17/2000,52000000,204271286,131,Released,7.1,730
464,Så som i himmelen,2,sv,3.643125,9/3/2004,0,0,132,Released,7,43
467,The Hole,2,en,4.406514,4/20/2001,0,0,102,Released,6.4,227
470,21 Grams,2,en,6.372278,9/6/2003,20000000,40427839,124,Released,7.2,943
471,Bandyta,2,en,0.707491,1/1/1997,0,0,102,Released,6.3,3
473,Pi,2,en,10.621362,7/10/1998,60000,3161152,84,Released,7.1,600
479,Shaft,2,en,7.420019,6/15/2000,46000000,61196498,99,Released,5.5,316
480,Monsoon Wedding,2,hi,10.625504,8/30/2001,0,0,114,Released,6.8,59
481,7 vírgenes,2,es,1.639857,10/14/2005,0,0,86,Released,6.6,7
489,Good Will Hunting,2,en,15.064833,12/5/1997,10000000,215933435,126,Released,7.9,2880
492,Being John Malkovich,2,en,11.416319,9/30/1999,13000000,9863596,112,Released,7.3,1124
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2,en,8.278336,11/1/2006,18000000,243572744,82,Released,6.5,1617
497,The Green Mile,2,en,19.96678,12/10/1999,60000000,224600000,189,Released,8.2,4166
501,Grizzly Man,2,en,8.535339,8/12/2005,0,0,103,Released,7.3,213
503,Poseidon,2,en,6.581669,5/12/2006,160000000,21674817,99,Released,5.5,594
504,Monster,2,en,7.189024,11/16/2003,8000000,52378584,110,Released,7,500
508,Love Actually,2,en,10.586815,9/7/2003,40000000,204931766,135,Released,7,1917
509,Notting Hill,2,en,9.874043,5/13/1999,42000000,321889678,124,Released,7,1309
512,Scoop,2,en,8.16339,7/27/2006,4000000,27584901,96,Released,6.4,435
523,Requiem,2,de,2.457138,3/2/2006,0,0,92,Released,7,22
533,The Curse of the Were-Rabbit,2,en,11.766244,9/4/2005,30000000,162452832,85,Released,6.8,660
534,Terminator Salvation,2,en,16.507496,5/20/2009,200000000,171353001,115,Released,5.9,2496
537,Je ne suis pas là pour être aimé,2,fr,1.078297,10/12/2005,0,0,93,Released,5.2,8
540,D.E.B.S.,2,en,5.161493,1/21/2004,3500000,-3500000,91,Released,5.6,91
542,El Crimen del Padre Amaro,2,es,2.195447,10/1/2002,1800000,-1800000,118,Released,6.2,36
544,There's Something About Mary,2,en,11.688958,7/15/1998,23000000,346884651,119,Released,6.5,1616
546,Transamerica,2,en,7.398205,12/23/2005,1000000,12350369,103,Released,6.9,149
547,The Horse Whisperer,2,en,7.685548,5/14/1998,60000000,126883563,170,Released,6.7,296
550,Fight Club,2,en,63.869599,10/15/1999,63000000,37853753,139,Released,8.3,9678
552,Pane e Tulipani,2,it,2.916247,3/3/2000,0,0,114,Released,7,35
553,Dogville,2,da,9.808595,5/19/2003,10000000,6680836,178,Released,7.6,619
554,Kukushka,2,ru,2.481165,1/1/2002,0,0,100,Released,6.9,24
557,Spider-Man,2,en,29.413341,5/1/2002,139000000,682708551,121,Released,6.8,5398
558,Spider-Man 2,2,en,10.834506,6/25/2004,200000000,583766341,127,Released,6.7,4432
559,Spider-Man 3,2,en,27.614265,5/1/2007,258000000,632871626,139,Released,5.9,3687
561,Constantine,2,en,9.615691,2/8/2005,100000000,130884728,121,Released,6.6,1837
563,Starship Troopers,2,en,14.412644,11/6/1997,105000000,16214377,129,Released,6.7,1584
564,The Mummy,2,en,23.984065,4/16/1999,80000000,335885488,124,Released,6.6,2796
565,The Ring,2,en,13.740965,10/18/2002,48000000,201348933,115,Released,6.5,1720
570,À ma sœur!,2,fr,2.063604,3/7/2001,0,0,86,Released,6.2,44
572,Naboer,2,no,6.619629,3/10/2005,2400000,-2400000,75,Released,6.6,42
575,Das Experiment,2,de,7.881933,3/7/2001,0,0,114,Released,7.5,319
582,Das Leben der Anderen,2,de,9.02255,3/15/2006,2000000,68000000,137,Released,7.9,977
584,2 Fast 2 Furious,2,en,2.32462,6/5/2003,76000000,160350661,107,Released,6.2,2087
585,"Monsters, Inc.",2,en,26.419962,11/1/2001,115000000,447816256,92,Released,7.5,6150
586,Wag the Dog,2,en,7.603652,12/25/1997,15000000,49256513,97,Released,6.7,273
587,Big Fish,2,en,14.739983,12/25/2003,70000000,52919055,125,Released,7.6,2064
588,Silent Hill,2,en,7.938457,4/21/2006,50000000,47607453,125,Released,6.3,1093
590,The Hours,2,en,14.686487,12/27/2002,25000000,16597830,114,Released,7,461
591,The Da Vinci Code,2,en,18.566706,5/17/2006,125000000,642820459,149,Released,6.5,2773
594,The Terminal,2,en,14.092373,6/17/2004,60000000,159417255,128,Released,7.1,1974
597,Titanic,2,en,26.88907,11/18/1997,200000000,1645034188,194,Released,7.5,7770
598,Cidade de Deus,2,pt,14.95927,2/5/2002,3300000,27341770,130,Released,8.2,1852
603,The Matrix,2,en,33.366332,3/30/1999,63000000,400517383,136,Released,7.9,9079
604,The Matrix Reloaded,2,en,16.229317,5/15/2003,150000000,588599701,138,Released,6.7,3500
605,The Matrix Revolutions,2,en,15.368205,11/5/2003,150000000,274988211,129,Released,6.4,3155
607,Men in Black,2,en,15.781024,7/2/1997,90000000,499390539,98,Released,6.9,4521
608,Men in Black II,2,en,16.775716,7/3/2002,140000000,301818803,88,Released,6.1,3188
612,Munich,2,en,9.668761,12/22/2005,70000000,60358911,164,Released,7,706
613,Der Untergang,2,de,7.69224,9/8/2004,18339750,73841160,156,Released,7.7,1059
615,The Passion of the Christ,2,en,13.194168,2/25/2004,30000000,581899420,127,Released,6.9,888
616,The Last Samurai,2,en,19.582325,12/5/2003,140000000,316758981,154,Released,7.3,1946
617,Wild Things,2,en,13.924623,3/20/1998,20000000,47200000,108,Released,6.3,454
622,The Ninth Gate,2,en,11.316349,8/24/1999,38000000,20401898,133,Released,6.3,768
634,Bridget Jones's Diary,2,en,10.780524,4/13/2001,25000000,256929795,97,Released,6.6,1397
637,La vita è bella,2,it,39.39497,12/20/1997,20000000,209400000,116,Released,8.3,3643
638,Lost Highway,2,en,8.449722,1/15/1997,15000000,-11324799,134,Released,7.5,572
640,Catch Me If You Can,2,en,19.833077,12/25/2002,52000000,300114312,141,Released,7.7,3917
641,Requiem for a Dream,2,en,6.874828,10/27/2000,4500000,2890108,102,Released,7.9,2525
644,A.I. Artificial Intelligence,2,en,13.249364,6/29/2001,100000000,135926552,146,Released,6.8,2011
647,Final Fantasy VII: Advent Children,2,ja,15.260291,7/14/2005,0,0,101,Released,6.7,290
652,Troy,2,en,15.387275,5/13/2004,175000000,322409852,163,Released,6.9,2841
663,Saw IV,2,en,12.233863,10/25/2007,10000000,129352633,93,Released,5.9,938
666,Central do Brasil,2,pt,4.919716,1/16/1998,2900000,2696708,113,Released,7.6,132
670,올드보이,2,ko,10.616859,1/1/2003,3000000,11980005,120,Released,8,2000
671,Harry Potter and the Philosopher's Stone,2,en,38.187238,11/16/2001,125000000,851475550,152,Released,7.5,7188
672,Harry Potter and the Chamber of Secrets,2,en,29.741452,11/13/2002,100000000,776688482,161,Released,7.4,5966
673,Harry Potter and the Prisoner of Azkaban,2,en,28.460276,5/31/2004,130000000,659804554,141,Released,7.7,6037
674,Harry Potter and the Goblet of Fire,2,en,24.903058,11/5/2005,150000000,745921036,157,Released,7.5,5758
675,Harry Potter and the Order of the Phoenix,2,en,21.3643,6/28/2007,150000000,788212738,138,Released,7.4,5633
676,Pearl Harbor,2,en,11.419388,5/21/2001,140000000,309220945,183,Released,6.6,1833
686,Contact,2,en,14.374866,7/11/1997,90000000,81120329,150,Released,7.2,1338
693,Meet the Fockers,2,en,11.876386,12/22/2004,80000000,436642939,115,Released,6.1,1412
711,Finding Forrester,2,en,10.536255,12/21/2000,43000000,37049764,136,Released,7,305
714,Tomorrow Never Dies,2,en,17.159576,12/11/1997,110000000,223011068,119,Released,6,941
742,Tillsammans,2,sv,3.358638,8/25/2000,0,0,106,Released,6.8,71
745,The Sixth Sense,2,en,18.449169,8/6/1999,40000000,632806292,107,Released,7.7,3223
747,Shaun of the Dead,2,en,14.902948,4/9/2004,4000000,26039392,99,Released,7.5,2479
752,V for Vendetta,2,en,20.214422,3/15/2006,54000000,78511035,132,Released,7.7,4562
754,Face/Off,2,en,11.467391,6/27/1997,80000000,165676146,138,Released,6.8,1612
767,Harry Potter and the Half-Blood Prince,2,en,19.083723,7/7/2009,250000000,683959197,153,Released,7.4,5435
768,From Hell,2,en,7.79014,10/19/2001,35000000,39558115,122,Released,6.6,758
773,Little Miss Sunshine,2,en,5.320117,7/26/2006,8000000,92523181,102,Released,7.5,1728
781,Winterschläfer,2,de,1.781979,10/30/1997,0,0,120,Released,6.7,10
782,Gattaca,2,en,12.89312,9/7/1997,36000000,-23467223,106,Released,7.5,1846
786,Almost Famous,2,en,9.086699,9/15/2000,60000000,-12616311,122,Released,7.4,807
787,Mr. & Mrs. Smith,2,en,15.724373,6/7/2005,110000000,368207520,120,Released,6.5,3048
791,The Fog,2,en,9.929809,10/14/2005,18000000,28201432,100,Released,3.8,191
795,City of Angels,2,en,8.228219,4/10/1998,55000000,143685114,114,Released,6.5,537
796,Cruel Intentions,2,en,8.181065,3/5/1999,10500000,65402208,97,Released,6.6,848
799,Pünktchen und Anton,2,de,0.309062,3/11/1999,0,0,107,Released,7.3,7
806,The Omen,2,en,5.670679,6/6/2006,25000000,94188334,110,Released,5.3,287
808,Shrek,2,en,17.987728,5/16/2001,60000000,424409218,90,Released,7.3,4183
809,Shrek 2,2,en,16.22986,5/19/2004,150000000,769838758,93,Released,6.7,3082
810,Shrek the Third,2,en,14.072479,5/17/2007,160000000,638958165,93,Released,6,2355
815,Animal Farm,2,en,2.33561,10/3/1999,23000000,-23000000,91,Released,5.9,30
816,Austin Powers: International Man of Mystery,2,en,11.749159,5/2/1997,16500000,51183989,94,Released,6.5,1033
817,Austin Powers: The Spy Who Shagged Me,2,en,13.984182,6/8/1999,33000000,277940086,95,Released,6.1,1034
818,Austin Powers in Goldmember,2,en,8.786653,7/26/2002,63000000,233655431,94,Released,5.9,997
823,人狼,2,ja,5.993402,11/17/1999,0,0,102,Released,7.4,82
824,Moulin Rouge!,2,en,13.691781,3/9/2001,52500000,126713434,127,Released,7.4,1348
825,Playing by Heart,2,en,3.010088,12/30/1998,20000000,-16029922,121,Released,6.6,49
834,Underworld: Evolution,2,en,12.496805,1/12/2006,50000000,61340801,106,Released,6.4,1548
842,The Assassination of Richard Nixon,2,en,10.107677,5/17/2004,0,3537961,95,Released,6.4,83
843,花樣年華,2,cn,8.703552,5/22/2000,0,12854953,98,Released,7.8,379
844,2046,2,zh,7.157169,5/20/2004,12000000,7271312,129,Released,6.9,208
846,The X Files,2,en,12.311615,6/19/1998,66000000,123198313,121,Released,6.6,494
853,Enemy at the Gates,2,en,10.704813,3/13/2001,68000000,28976270,131,Released,7.2,1023
855,Black Hawk Down,2,en,10.064446,12/28/2001,92000000,80989651,144,Released,7.2,1832
857,Saving Private Ryan,2,en,21.758054,7/24/1998,70000000,411840909,169,Released,7.9,5148
863,Toy Story 2,2,en,17.547693,10/30/1999,90000000,407366869,92,Released,7.3,3914
866,Finding Neverland,2,en,15.529604,10/17/2004,25000000,91766556,106,Released,7.2,1269
868,Tsotsi,2,af,6.081201,8/18/2005,3000000,6879971,94,Released,6.9,96
869,Planet of the Apes,2,en,17.319836,7/25/2001,100000000,262211740,119,Released,5.6,1270
870,ドールズ,2,ja,4.416932,9/5/2002,0,0,114,Released,7.6,76
876,Frank Herbert's Dune,2,en,14.612842,12/3/2000,20000000,-20000000,292,Released,6.7,114
883,Coffee and Cigarettes,2,en,5.32553,9/5/2003,0,7897645,96,Released,6.9,216
889,The Flintstones in Viva Rock Vegas,2,en,6.053595,4/28/2000,83000000,-23531725,90,Released,4.4,140
913,The Thomas Crown Affair,2,en,10.961226,8/6/1999,48000000,76305181,113,Released,6.7,349
919,Blood: The Last Vampire,2,en,2.925291,11/18/2000,0,0,48,Released,6.6,76
920,Cars,2,en,18.907948,6/8/2006,120000000,341983149,117,Released,6.6,3991
921,Cinderella Man,2,en,6.363884,6/2/2005,88000000,20539911,144,Released,7.3,630
924,Dawn of the Dead,2,en,13.157873,3/19/2004,28000000,74356381,101,Released,6.8,1039
926,Galaxy Quest,2,en,15.831374,12/23/1999,45000000,45683916,102,Released,6.9,722
929,Godzilla,2,en,11.295121,5/20/1998,130000000,249014294,139,Released,5.3,1075
944,Lethal Weapon 4,2,en,14.470551,7/10/1998,140000000,145444603,127,Released,6.3,782
950,Ice Age: The Meltdown,2,en,16.646029,3/23/2006,80000000,580940780,91,Released,6.5,3034
953,Madagascar,2,en,16.136217,5/25/2005,75000000,457680671,86,Released,6.6,3322
955,Mission: Impossible II,2,en,18.97178,5/24/2000,125000000,421388105,123,Released,5.9,1966
